datestamp,percentPageloadsAreTLS,countTLS,countPageloads,timeAdded
2014-05-01,32.1161,11067599,34461202,2016-11-29 20:52:34
2014-05-02,31.3845,16643810,53031925,2016-11-29 20:52:34
2014-05-03,30.0035,19559905,65192008,2016-11-29 20:52:34
2014-05-04,28.5995,23024282,80505892,2016-11-29 20:52:35
2014-05-05,29.4463,30007366,101905296,2016-11-29 20:52:35
2014-05-06,30.8276,35457775,115019573,2016-11-29 20:52:35
2014-05-07,30.9673,37258063,120314330,2016-11-29 20:52:35
2014-05-08,31.4956,39317878,124836081,2016-11-29 20:52:35
2014-05-09,31.1498,38181539,122573770,2016-11-29 20:52:35
2014-05-10,29.9901,35901206,119710207,2016-11-29 20:52:35
2014-05-11,28.7636,50911367,176999208,2016-11-29 20:52:35
2014-05-12,29.1913,78485259,268865441,2016-11-29 20:52:35
2014-05-13,31.1773,100130689,321165343,2016-11-29 20:52:35
2014-05-14,31.6612,116265180,367216599,2016-11-29 20:52:35
2014-05-15,29.6294,121515673,410118473,2016-11-29 20:52:35
2014-05-16,31.8533,121429842,381216252,2016-11-29 20:52:35
2014-05-17,30.0791,93712419,311553426,2016-11-29 20:52:35
2014-05-18,29.0242,92863777,319952400,2016-11-29 20:52:35
2014-05-19,30.9197,127069485,410965793,2016-11-29 20:52:35
2014-05-20,31.9623,140798485,440514260,2016-11-29 20:52:35
2014-05-21,32.0969,138000776,429950209,2016-11-29 20:52:36
2014-05-22,32.2291,137705200,427269124,2016-11-29 20:52:36
2014-05-23,31.7445,130453194,410947965,2016-11-29 20:52:36
2014-05-24,30.3362,100434264,331071011,2016-11-29 20:52:36
2014-05-25,28.8487,96131268,333225964,2016-11-29 20:52:36
2014-05-26,30.3267,30855904,101744860,2016-11-29 20:52:36
2014-05-28,31.8514,83809482,263126470,2016-11-29 20:52:36
2014-05-29,31.9544,136014536,425652174,2016-11-29 20:52:36
2014-05-30,31.8256,133140533,418344362,2016-11-29 20:52:36
2014-05-31,30.5553,103500391,338731707,2016-11-29 20:52:36
2014-06-01,29.7223,101649219,341996381,2016-11-29 20:52:36
2014-06-02,31.0590,137409861,442415590,2016-11-29 20:52:36
2014-06-03,32.4501,148740972,458368536,2016-11-29 20:52:36
2014-06-04,32.5480,145303556,446428743,2016-11-29 20:52:36
2014-06-05,32.1931,142810858,443607044,2016-11-29 20:52:36
2014-06-06,32.3498,135422007,418617227,2016-11-29 20:52:37
2014-06-07,30.8659,100304749,324969004,2016-11-29 20:52:37
2014-06-08,29.5930,96707419,326791113,2016-11-29 20:52:37
2014-06-09,31.0631,131200245,422367017,2016-11-29 20:52:37
2014-06-10,32.0348,144642372,451516590,2016-11-29 20:52:37
2014-06-11,33.0444,3256146,9853848,2016-11-29 20:52:38
2014-06-12,32.0229,15549652,48557871,2016-11-29 20:52:38
2014-06-13,31.5981,25895201,81951879,2016-11-29 20:52:39
2014-06-14,29.5130,23420563,79356726,2016-11-29 20:52:39
2014-06-15,28.2917,24993212,88341205,2016-11-29 20:52:39
2014-06-16,29.6951,33936595,114283363,2016-11-29 20:52:39
2014-06-17,31.2322,40073691,128308735,2016-11-29 20:52:39
2014-06-18,31.0187,42453973,136865899,2016-11-29 20:52:39
2014-06-19,31.4220,59945150,190774345,2016-11-29 20:52:39
2014-06-20,31.2445,79800522,255406420,2016-11-29 20:52:39
2014-06-21,30.1289,68273840,226605589,2016-11-29 20:52:39
2014-06-22,28.7622,71610521,248974245,2016-11-29 20:52:39
2014-06-23,30.1824,100193713,331960652,2016-11-29 20:52:39
2014-06-24,31.6704,115433866,364484655,2016-11-29 20:52:39
2014-06-25,31.6906,119139128,375944465,2016-11-29 20:52:39
2014-06-26,31.7107,119629386,377252379,2016-11-29 20:52:39
2014-06-27,31.8018,114439177,359851708,2016-11-29 20:52:39
2014-06-28,30.1550,88445679,293303411,2016-11-29 20:52:39
2014-06-29,29.1427,88115166,302357351,2016-11-29 20:52:40
2014-06-30,30.9393,122680964,396521409,2016-11-29 20:52:40
2014-07-01,31.9808,128939586,403178271,2016-11-29 20:52:40
2014-07-02,32.4297,126369963,389673128,2016-11-29 20:52:40
2014-07-03,32.5367,126311792,388213674,2016-11-29 20:52:40
2014-07-04,31.4825,111974993,355674299,2016-11-29 20:52:40
2014-07-05,30.2886,90208821,297831261,2016-11-29 20:52:40
2014-07-06,29.0789,88080806,302902436,2016-11-29 20:52:40
2014-07-07,31.3772,123380271,393216758,2016-11-29 20:52:40
2014-07-08,32.2227,134159767,416352359,2016-11-29 20:52:40
2014-07-09,32.1905,129694565,402897311,2016-11-29 20:52:40
2014-07-10,32.0286,130660593,407950324,2016-11-29 20:52:40
2014-07-11,31.9389,121273402,379704304,2016-11-29 20:52:40
2014-07-12,30.3997,91763589,301857044,2016-11-29 20:52:40
2014-07-13,29.6298,89492509,302035100,2016-11-29 20:52:40
2014-07-14,31.1440,120125381,385710113,2016-11-29 20:52:40
2014-07-15,32.0059,130423380,407498414,2016-11-29 20:52:41
2014-07-16,32.2882,126467639,391683297,2016-11-29 20:52:41
2014-07-17,32.3840,122898631,379504735,2016-11-29 20:52:41
2014-07-18,32.1115,118379674,368651478,2016-11-29 20:52:41
2014-07-19,30.6973,90787628,295750816,2016-11-29 20:52:41
2014-07-20,29.6082,89312756,301648658,2016-11-29 20:52:41
2014-07-21,31.3236,121382913,387513142,2016-11-29 20:52:41
2014-07-22,31.8076,130501995,410285011,2016-11-29 20:52:41
2014-07-23,33.9644,3425670,10086064,2016-11-29 20:52:42
2014-07-24,32.4215,15788660,48698111,2016-11-29 20:52:42
2014-07-25,31.8872,25428351,79744617,2016-11-29 20:52:42
2014-07-26,30.3017,22632579,74690676,2016-11-29 20:52:42
2014-07-27,28.7278,22358092,77827485,2016-11-29 20:52:42
2014-07-28,29.8793,32154123,107613492,2016-11-29 20:52:42
2014-07-29,31.5607,37126811,117636270,2016-11-29 20:52:42
2014-07-30,31.9127,41568483,130256765,2016-11-29 20:52:42
2014-07-31,32.3311,61047809,188820446,2016-11-29 20:52:42
2014-08-01,32.8549,81252943,247308128,2016-11-29 20:52:42
2014-08-02,31.6043,68349235,216265293,2016-11-29 20:52:42
2014-08-03,30.5189,70627158,231420876,2016-11-29 20:52:42
2014-08-04,31.7321,95503552,300968464,2016-11-29 20:52:43
2014-08-05,33.4672,111646514,333599905,2016-11-29 20:52:43
2014-08-06,33.6277,114528806,340578661,2016-11-29 20:52:43
2014-08-07,33.5943,115101570,342622590,2016-11-29 20:52:43
2014-08-08,33.3718,110909931,332346053,2016-11-29 20:52:43
2014-08-09,31.8228,85798334,269613045,2016-11-29 20:52:43
2014-08-10,30.9666,85996447,277707326,2016-11-29 20:52:43
2014-08-11,32.3777,116148845,358730805,2016-11-29 20:52:43
2014-08-12,33.4285,122841960,367477019,2016-11-29 20:52:43
2014-08-13,33.5697,123117047,366750666,2016-11-29 20:52:43
2014-08-14,33.6065,122572355,364727784,2016-11-29 20:52:43
2014-08-15,33.0775,110721291,334732827,2016-11-29 20:52:43
2014-08-16,31.6965,90669867,286056582,2016-11-29 20:52:43
2014-08-17,30.9849,89602218,289180332,2016-11-29 20:52:43
2014-08-18,32.2113,119041831,369565627,2016-11-29 20:52:43
2014-08-19,33.3740,129384954,387681867,2016-11-29 20:52:43
2014-08-20,33.6485,127553510,379076677,2016-11-29 20:52:44
2014-08-21,33.5115,124898528,372703424,2016-11-29 20:52:44
2014-08-22,33.2575,120861480,363411642,2016-11-29 20:52:44
2014-08-23,31.8892,93545745,293345784,2016-11-29 20:52:44
2014-08-24,30.9373,93365927,301790985,2016-11-29 20:52:44
2014-08-25,32.4381,125238051,386083431,2016-11-29 20:52:44
2014-08-26,33.3400,134274037,402742130,2016-11-29 20:52:44
2014-08-27,33.7616,131961910,390863646,2016-11-29 20:52:44
2014-08-28,33.6553,132381974,393346559,2016-11-29 20:52:44
2014-08-29,33.1308,126316600,381266168,2016-11-29 20:52:44
2014-08-30,32.0141,93932988,293411077,2016-11-29 20:52:44
2014-08-31,30.9558,95207209,307558832,2016-11-29 20:52:44
2014-09-01,31.9098,122240810,383082762,2016-11-29 20:52:44
2014-09-02,33.6716,137324786,407835330,2016-11-29 20:52:44
2014-09-03,33.3212,3471944,10419636,2016-11-29 20:52:57
2014-09-04,32.3785,12765091,39424634,2016-11-29 20:52:57
2014-09-05,33.0287,23209386,70270387,2016-11-29 20:52:57
2014-09-06,31.5862,21811336,69053266,2016-11-29 20:52:57
2014-09-07,30.2413,22822657,75468591,2016-11-29 20:52:57
2014-09-08,31.9195,31382868,98318769,2016-11-29 20:52:57
2014-09-09,32.9109,35447464,107707385,2016-11-29 20:52:57
2014-09-10,33.2348,36372035,109439501,2016-11-29 20:52:57
2014-09-11,32.3061,36897647,114212606,2016-11-29 20:52:57
2014-09-12,32.7429,37657116,115008350,2016-11-29 20:52:57
2014-09-13,30.7959,31752931,103107803,2016-11-29 20:52:57
2014-09-14,29.4859,44278387,150167773,2016-11-29 20:52:57
2014-09-15,30.2296,68751572,227431362,2016-11-29 20:52:57
2014-09-16,32.2105,85467396,265340273,2016-11-29 20:52:57
2014-09-17,32.8400,98790858,300824723,2016-11-29 20:52:57
2014-09-18,32.6422,104887549,321325292,2016-11-29 20:52:58
2014-09-19,32.9112,105763910,321361400,2016-11-29 20:52:58
2014-09-20,31.3444,83258509,265625199,2016-11-29 20:52:58
2014-09-21,29.9184,85254722,284957866,2016-11-29 20:52:58
2014-09-22,31.5722,116342332,368495812,2016-11-29 20:52:58
2014-09-23,32.7491,123037049,375696336,2016-11-29 20:52:58
2014-09-24,32.7853,122612214,373985048,2016-11-29 20:52:58
2014-09-25,32.9473,124147764,376807434,2016-11-29 20:52:58
2014-09-26,32.7496,117439369,358597566,2016-11-29 20:52:58
2014-09-27,31.0466,91749020,295520078,2016-11-29 20:52:58
2014-09-28,29.9459,89503317,298883148,2016-11-29 20:52:58
2014-09-29,31.8965,122109837,382831401,2016-11-29 20:52:58
2014-09-30,34.8939,140469100,402560778,2016-11-29 20:52:58
2014-10-01,33.7075,129765692,384975363,2016-11-29 20:52:58
2014-10-02,33.8200,126251305,373303853,2016-11-29 20:52:58
2014-10-03,33.2876,117377239,352615259,2016-11-29 20:52:58
2014-10-04,31.5518,91313153,289406954,2016-11-29 20:52:59
2014-10-05,30.2716,90440633,298764085,2016-11-29 20:52:59
2014-10-06,32.3204,122702833,379644788,2016-11-29 20:52:59
2014-10-07,33.3394,132965094,398822677,2016-11-29 20:52:59
2014-10-08,33.3478,130087422,390093096,2016-11-29 20:52:59
2014-10-09,33.3011,127877057,384003003,2016-11-29 20:52:59
2014-10-10,32.9332,121424837,368700074,2016-11-29 20:52:59
2014-10-11,31.0486,93035810,299645828,2016-11-29 20:52:59
2014-10-12,29.9642,90721419,302766344,2016-11-29 20:52:59
2014-10-13,31.7138,122066980,384901789,2016-11-29 20:52:59
2014-10-14,32.6454,134061026,410658521,2016-11-29 20:52:59
2014-10-15,34.3853,2784084,8096736,2016-11-29 20:53:02
2014-10-16,33.6506,13747604,40853940,2016-11-29 20:53:02
2014-10-17,32.9829,22741106,68948203,2016-11-29 20:53:02
2014-10-18,31.1641,20154305,64671494,2016-11-29 20:53:02
2014-10-19,29.4667,20808729,70617709,2016-11-29 20:53:02
2014-10-20,31.0610,28855662,92900095,2016-11-29 20:53:02
2014-10-21,32.2578,33087282,102571316,2016-11-29 20:53:02
2014-10-22,32.2375,33708081,104561726,2016-11-29 20:53:02
2014-10-23,32.0746,33621514,104822826,2016-11-29 20:53:02
2014-10-24,31.8587,32778870,102888213,2016-11-29 20:53:02
2014-10-25,30.9294,26059160,84253722,2016-11-29 20:53:02
2014-10-26,30.0049,26220098,87386035,2016-11-29 20:53:02
2014-10-27,31.3152,34805583,111145975,2016-11-29 20:53:02
2014-10-28,32.6667,37796579,115703667,2016-11-29 20:53:02
2014-10-29,33.0850,38083630,115108318,2016-11-29 20:53:03
2014-10-30,33.4736,40139763,119914605,2016-11-29 20:53:03
2014-10-31,32.4605,44125126,135934993,2016-11-29 20:53:03
2014-11-01,31.2167,42849882,137265967,2016-11-29 20:53:03
2014-11-02,29.7831,48015115,161216181,2016-11-29 20:53:03
2014-11-03,31.4115,65071745,207158669,2016-11-29 20:53:03
2014-11-04,33.1857,76264793,229811926,2016-11-29 20:53:03
2014-11-05,33.4913,77243703,230638224,2016-11-29 20:53:03
2014-11-06,33.8455,77623192,229345648,2016-11-29 20:53:03
2014-11-07,33.1555,77001655,232243915,2016-11-29 20:53:03
2014-11-08,31.3437,61293940,195554487,2016-11-29 20:53:03
2014-11-09,29.8475,64703085,216779075,2016-11-29 20:53:03
2014-11-10,31.9422,91504333,286468327,2016-11-29 20:53:03
2014-11-11,33.5777,103064973,306944690,2016-11-29 20:53:03
2014-11-12,34.5571,110905816,320935322,2016-11-29 20:53:03
2014-11-13,34.0935,109422633,320948403,2016-11-29 20:53:03
2014-11-14,33.6706,102040732,303055863,2016-11-29 20:53:03
2014-11-15,31.5463,77640570,246116042,2016-11-29 20:53:04
2014-11-16,30.5663,77070740,252143194,2016-11-29 20:53:04
2014-11-17,32.2643,104276306,323193765,2016-11-29 20:53:04
2014-11-18,33.5928,115037137,342446068,2016-11-29 20:53:04
2014-11-19,33.5023,113686525,339339510,2016-11-29 20:53:04
2014-11-20,33.4770,112739295,336766654,2016-11-29 20:53:04
2014-11-21,33.5956,104460131,310933834,2016-11-29 20:53:04
2014-11-22,32.1824,81115216,252048116,2016-11-29 20:53:04
2014-11-23,30.2713,77536420,256138786,2016-11-29 20:53:04
2014-11-24,32.0846,105152118,327734428,2016-11-29 20:53:04
2014-11-25,33.2995,114439909,343668044,2016-11-29 20:53:04
2014-11-26,32.1783,110565973,343604334,2016-11-29 20:53:04
2014-11-27,32.7201,101135899,309094304,2016-11-29 20:53:04
